Date,Open,High,Low,Close,Adj Close,Volume
2018-02-20,1090.569946,1113.949951,1088.520020,1102.459961,1102.459961,1423100
2018-02-21,1106.469971,1133.969971,1106.329956,1111.339966,1111.339966,1512900
2018-02-22,1116.189941,1122.819946,1102.589966,1106.630005,1106.630005,1317200
2018-02-23,1112.640015,1127.280029,1104.713989,1126.790039,1126.790039,1261000
2018-02-26,1127.800049,1143.959961,1126.694946,1143.750000,1143.750000,1559100
2018-02-27,1141.239990,1144.040039,1118.000000,1118.290039,1118.290039,1774100
2018-02-28,1123.030029,1127.530029,1103.239990,1104.729980,1104.729980,1882600
2018-03-01,1107.869995,1110.119995,1067.000977,1069.520020,1069.520020,2515900
2018-03-02,1053.079956,1081.999023,1048.114990,1078.920044,1078.920044,2271600
2018-03-05,1075.140015,1097.099976,1069.000000,1090.930054,1090.930054,1202200
2018-03-06,1099.219971,1101.849976,1089.775024,1095.060059,1095.060059,1532800
2018-03-07,1089.189941,1112.219971,1085.482056,1109.640015,1109.640015,1292500
2018-03-08,1115.319946,1127.599976,1112.800049,1126.000000,1126.000000,1355100
2018-03-09,1136.000000,1160.800049,1132.461060,1160.040039,1160.040039,2128000
2018-03-12,1163.849976,1177.050049,1157.420044,1164.500000,1164.500000,2172300
2018-03-13,1170.000000,1176.760010,1133.329956,1138.170044,1138.170044,1907200
2018-03-14,1145.209961,1158.589966,1141.439941,1149.489990,1149.489990,1291400
2018-03-15,1149.959961,1161.079956,1134.540039,1149.579956,1149.579956,1395400
2018-03-16,1154.140015,1155.880005,1131.959961,1135.729980,1135.729980,2596300
